Time_stamp,Value
1603462639.671875,-52.52
1603462639.6875,-56.44
1603462639.703125,-57.78
1603462639.71875,-55.56
1603462639.734375,-49.39
1603462639.75,-39.70
1603462639.765625,-27.54
1603462639.78125,-14.37
1603462639.796875,-1.55
1603462639.8125,9.89
1603462639.828125,19.40
1603462639.84375,26.81
1603462639.859375,32.20
1603462639.875,35.67
1603462639.890625,37.39
1603462639.90625,37.53
1603462639.921875,36.35
1603462639.9375,34.25
1603462639.953125,31.71
1603462639.96875,29.24
1603462639.984375,27.26
1603462640.0,26.00
1603462640.015625,25.57
1603462640.03125,25.92
1603462640.046875,26.99
1603462640.0625,28.66
1603462640.078125,30.79
1603462640.09375,33.13
1603462640.109375,35.29
1603462640.125,36.80
1603462640.140625,37.20
1603462640.15625,36.23
1603462640.171875,33.96
1603462640.1875,30.75
1603462640.203125,27.16
1603462640.21875,23.70
1603462640.234375,20.69
1603462640.25,18.19
1603462640.265625,16.03
1603462640.28125,13.98
1603462640.296875,11.83
1603462640.3125,9.50
1603462640.328125,7.05
1603462640.34375,4.64
1603462640.359375,2.47
1603462640.375,0.68
1603462640.390625,-0.72
1603462640.40625,-1.85
1603462640.421875,-3.02
1603462640.4375,-4.51
1603462640.453125,-6.53
1603462640.46875,-9.07
1603462640.484375,-11.91
1603462640.5,-14.76
1603462640.515625,-17.38
1603462640.53125,-19.68
1603462640.546875,-21.78
1603462640.5625,-23.92
1603462640.578125,-26.41
1603462640.59375,-29.50
1603462640.609375,-33.32
1603462640.625,-37.75
1603462640.640625,-42.36
1603462640.65625,-46.37
1603462640.671875,-48.75
1603462640.6875,-48.53
1603462640.703125,-45.07
1603462640.71875,-38.32
1603462640.734375,-28.82
1603462640.75,-17.56
1603462640.765625,-5.70
1603462640.78125,5.70
1603462640.796875,15.78
1603462640.8125,23.96
1603462640.828125,29.92
1603462640.84375,33.59
1603462640.859375,35.10
1603462640.875,34.78
1603462640.890625,33.04
1603462640.90625,30.36
1603462640.921875,27.19
1603462640.9375,24.03
1603462640.953125,21.33
1603462640.96875,19.48
1603462640.984375,18.71
1603462641.0,19.00
1603462641.015625,20.17
1603462641.03125,21.86
1603462641.046875,23.75
1603462641.0625,25.59
1603462641.078125,27.23
1603462641.09375,28.53
1603462641.109375,29.33
1603462641.125,29.45
1603462641.140625,28.74
1603462641.15625,27.21
1603462641.171875,25.05
1603462641.1875,22.58
1603462641.203125,20.09
1603462641.21875,17.80
1603462641.234375,15.71
1603462641.25,13.68
1603462641.265625,11.53
1603462641.28125,9.17
1603462641.296875,6.59
1603462641.3125,3.95
1603462641.328125,1.38
1603462641.34375,-0.99
1603462641.359375,-3.16
1603462641.375,-5.19
1603462641.390625,-7.17
1603462641.40625,-9.18
1603462641.421875,-11.24
1603462641.4375,-13.32
1603462641.453125,-15.39
1603462641.46875,-17.45
1603462641.484375,-19.53
1603462641.5,-21.70
1603462641.515625,-24.08
1603462641.53125,-26.83
1603462641.546875,-30.10
1603462641.5625,-34.02
1603462641.578125,-38.54
1603462641.59375,-43.36
1603462641.609375,-47.87
1603462641.625,-51.17
1603462641.640625,-52.27
1603462641.65625,-50.38
1603462641.671875,-45.13
1603462641.6875,-36.75
1603462641.703125,-26.02
1603462641.71875,-14.10
1603462641.734375,-2.18
1603462641.75,8.70
1603462641.765625,17.88
1603462641.78125,25.02
1603462641.796875,30.05
1603462641.8125,32.99
1603462641.828125,33.92
1603462641.84375,32.99
1603462641.859375,30.47
1603462641.875,26.90
1603462641.890625,22.96
1603462641.90625,19.40
1603462641.921875,16.77
1603462641.9375,15.32
1603462641.953125,14.98
1603462641.96875,15.48
1603462641.984375,16.51
1603462642.0,17.85
1603462642.015625,19.41
1603462642.03125,21.07
1603462642.046875,22.66
1603462642.0625,23.90
1603462642.078125,24.48
1603462642.09375,24.21
1603462642.109375,23.11
1603462642.125,21.37
1603462642.140625,19.26
1603462642.15625,17.01
1603462642.171875,14.75
1603462642.1875,12.47
1603462642.203125,10.15
1603462642.21875,7.76
1603462642.234375,5.32
1603462642.25,2.94
1603462642.265625,0.67
1603462642.28125,-1.41
1603462642.296875,-3.35
1603462642.3125,-5.22
1603462642.328125,-7.13
1603462642.34375,-9.16
1603462642.359375,-11.37
1603462642.375,-13.77
1603462642.390625,-16.30
1603462642.40625,-18.87
1603462642.421875,-21.33
1603462642.4375,-23.58
1603462642.453125,-25.57
1603462642.46875,-27.40
1603462642.484375,-29.32
1603462642.5,-31.68
1603462642.515625,-34.77
1603462642.53125,-38.64
1603462642.546875,-42.89
1603462642.5625,-46.67
1603462642.578125,-48.89
1603462642.59375,-48.54
1603462642.609375,-45.02
1603462642.625,-38.35
1603462642.640625,-29.21
1603462642.65625,-18.66
1603462642.671875,-7.84
1603462642.6875,2.27
1603462642.703125,11.02
1603462642.71875,18.09
1603462642.734375,23.37
1603462642.75,26.86
1603462642.765625,28.58
1603462642.78125,28.61
1603462642.796875,27.11
1603462642.8125,24.40
1603462642.828125,20.96
1603462642.84375,17.37
1603462642.859375,14.21
1603462642.875,11.93
1603462642.890625,10.77
1603462642.90625,10.75
1603462642.921875,11.71
1603462642.9375,13.37
1603462642.953125,15.48
1603462642.96875,17.74
1603462642.984375,19.88
1603462643.0,21.60
1603462643.015625,22.64
1603462643.03125,22.81
1603462643.046875,22.02
1603462643.0625,20.39
1603462643.078125,18.08
1603462643.09375,15.34
1603462643.109375,12.42
1603462643.125,9.47
1603462643.140625,6.62
1603462643.15625,3.92
1603462643.171875,1.40
1603462643.1875,-0.96
1603462643.203125,-3.18
1603462643.21875,-5.30
1603462643.234375,-7.38
1603462643.25,-9.48
1603462643.265625,-11.60
1603462643.28125,-13.72
1603462643.296875,-15.79
1603462643.3125,-17.74
1603462643.328125,-19.59
1603462643.34375,-21.40
1603462643.359375,-23.34
1603462643.375,-25.62
1603462643.390625,-28.45
1603462643.40625,-31.95
1603462643.421875,-36.08
1603462643.4375,-40.56
1603462643.453125,-44.89
1603462643.46875,-48.39
1603462643.484375,-50.27
1603462643.5,-49.82
1603462643.515625,-46.59
1603462643.53125,-40.51
1603462643.546875,-31.96
1603462643.5625,-21.73
1603462643.578125,-10.81
1603462643.59375,-0.21
1603462643.609375,9.26
1603462643.625,17.04
1603462643.640625,22.84
1603462643.65625,26.55
1603462643.671875,28.23
1603462643.6875,28.04
1603462643.703125,26.24
1603462643.71875,23.26
1603462643.734375,19.59
1603462643.75,15.78
1603462643.765625,12.36
1603462643.78125,9.78
1603462643.796875,8.32
1603462643.8125,8.09
1603462643.828125,9.04
1603462643.84375,10.94
1603462643.859375,13.48
1603462643.875,16.25
1603462643.890625,18.86
1603462643.90625,20.94
1603462643.921875,22.20
1603462643.9375,22.41
1603462643.953125,21.47
1603462643.96875,19.38
1603462643.984375,16.33
1603462644.0,12.67
1603462644.015625,8.85
1603462644.03125,5.26
1603462644.046875,2.17
1603462644.0625,-0.43
1603462644.078125,-2.70
1603462644.09375,-4.92
1603462644.109375,-7.29
1603462644.125,-9.91
1603462644.140625,-12.74
1603462644.15625,-15.66
1603462644.171875,-18.52
1603462644.1875,-21.21
1603462644.203125,-23.68
1603462644.21875,-26.00
1603462644.234375,-28.36
1603462644.25,-31.02
1603462644.265625,-34.20
1603462644.28125,-37.86
1603462644.296875,-41.60
1603462644.3125,-44.59
1603462644.328125,-45.78
1603462644.34375,-44.27
1603462644.359375,-39.58
1603462644.375,-31.87
1603462644.390625,-21.92
1603462644.40625,-10.85
1603462644.421875,0.15
1603462644.4375,10.12
1603462644.453125,18.40
1603462644.46875,24.70
1603462644.484375,28.96
1603462644.5,31.26
1603462644.515625,31.79
1603462644.53125,30.81
1603462644.546875,28.57
1603462644.5625,25.44
1603462644.578125,21.82
1603462644.59375,18.19
1603462644.609375,15.04
1603462644.625,12.77
1603462644.640625,11.66
1603462644.65625,11.72
1603462644.671875,12.77
1603462644.6875,14.45
1603462644.703125,16.34
1603462644.71875,18.04
1603462644.734375,19.23
1603462644.75,19.73
1603462644.765625,19.47
1603462644.78125,18.51
1603462644.796875,16.93
1603462644.8125,14.85
1603462644.828125,12.33
1603462644.84375,9.41
1603462644.859375,6.10
1603462644.875,2.47
1603462644.890625,-1.32
1603462644.90625,-5.04
1603462644.921875,-8.43
1603462644.9375,-11.36
1603462644.953125,-13.87
1603462644.96875,-16.20
1603462644.984375,-18.69
1603462645.0,-21.69
1603462645.015625,-25.40
1603462645.03125,-29.77
1603462645.046875,-34.47
1603462645.0625,-38.82
1603462645.078125,-41.98
1603462645.09375,-43.08
1603462645.109375,-41.45
1603462645.125,-36.84
1603462645.140625,-29.51
1603462645.15625,-20.19
1603462645.171875,-9.88
1603462645.1875,0.37
1603462645.203125,9.70
1603462645.21875,17.52
1603462645.234375,23.50
1603462645.25,27.55
1603462645.265625,29.70
1603462645.28125,30.04
1603462645.296875,28.76
1603462645.3125,26.19
1603462645.328125,22.75
1603462645.34375,19.03
1603462645.359375,15.64
1603462645.375,13.08
1603462645.390625,11.64
1603462645.40625,11.32
1603462645.421875,11.90
1603462645.4375,13.00
1603462645.453125,14.21
1603462645.46875,15.23
1603462645.484375,15.92
1603462645.5,16.20
1603462645.515625,16.07
1603462645.53125,15.48
1603462645.546875,14.36
1603462645.5625,12.59
1603462645.578125,10.13
1603462645.59375,7.01
1603462645.609375,3.38
1603462645.625,-0.49
1603462645.640625,-4.29
1603462645.65625,-7.72
1603462645.671875,-10.62
1603462645.6875,-12.98
1603462645.703125,-15.00
1603462645.71875,-17.08
1603462645.734375,-19.68
1603462645.75,-23.13
1603462645.765625,-27.52
1603462645.78125,-32.52
1603462645.796875,-37.44
1603462645.8125,-41.32
1603462645.828125,-43.19
1603462645.84375,-42.28
1603462645.859375,-38.24
1603462645.875,-31.23
1603462645.890625,-21.91
1603462645.90625,-11.27
1603462645.921875,-0.43
1603462645.9375,9.59
1603462645.953125,18.04
1603462645.96875,24.49
1603462645.984375,28.81
1603462646.0,31.07
1603462646.015625,31.48
1603462646.03125,30.30
1603462646.046875,27.93
1603462646.0625,24.82
1603462646.078125,21.45
1603462646.09375,18.30
1603462646.109375,15.69
1603462646.125,13.87
1603462646.140625,12.95
1603462646.15625,12.95
1603462646.171875,13.79
1603462646.1875,15.23
1603462646.203125,16.94
1603462646.21875,18.50
1603462646.234375,19.53
1603462646.25,19.82
1603462646.265625,19.33
1603462646.28125,18.19
1603462646.296875,16.52
1603462646.3125,14.41
1603462646.328125,11.82
1603462646.34375,8.76
1603462646.359375,5.27
1603462646.375,1.56
1603462646.390625,-2.11
1603462646.40625,-5.50
1603462646.421875,-8.51
1603462646.4375,-11.18
1603462646.453125,-13.64
1603462646.46875,-16.03
1603462646.484375,-18.50
1603462646.5,-21.18
1603462646.515625,-24.21
1603462646.53125,-27.72
1603462646.546875,-31.76
1603462646.5625,-36.10
1603462646.578125,-40.16
1603462646.59375,-43.07
1603462646.609375,-43.83
1603462646.625,-41.67
1603462646.640625,-36.27
1603462646.65625,-27.94
1603462646.671875,-17.54
1603462646.6875,-6.25
1603462646.703125,4.73
1603462646.71875,14.44
1603462646.734375,22.27
1603462646.75,28.00
1603462646.765625,31.61
1603462646.78125,33.24
1603462646.796875,33.04
1603462646.8125,31.22
1603462646.828125,28.14
1603462646.84375,24.31
1603462646.859375,20.40
1603462646.875,17.10
1603462646.890625,14.93
1603462646.90625,14.15
1603462646.921875,14.69
1603462646.9375,16.24
1603462646.953125,18.42
1603462646.96875,20.86
1603462646.984375,23.26
1603462647.0,25.39
1603462647.015625,27.02
1603462647.03125,27.88
1603462647.046875,27.76
1603462647.0625,26.56
1603462647.078125,24.33
1603462647.09375,21.29
1603462647.109375,17.76
1603462647.125,14.10
1603462647.140625,10.60
1603462647.15625,7.45
1603462647.171875,4.70
1603462647.1875,2.26
1603462647.203125,-0.08
1603462647.21875,-2.51
1603462647.234375,-5.19
1603462647.25,-8.12
1603462647.265625,-11.17
1603462647.28125,-14.10
1603462647.296875,-16.69
1603462647.3125,-18.83
1603462647.328125,-20.64
1603462647.34375,-22.38
1603462647.359375,-24.46
1603462647.375,-27.26
1603462647.390625,-31.00
1603462647.40625,-35.65
1603462647.421875,-40.79
1603462647.4375,-45.63
1603462647.453125,-49.13
1603462647.46875,-50.22
1603462647.484375,-48.11
1603462647.5,-42.54
1603462647.515625,-33.86
1603462647.53125,-22.98
1603462647.546875,-11.13
1603462647.5625,0.45
1603462647.578125,10.76
1603462647.59375,19.18
1603462647.609375,25.44
1603462647.625,29.54
1603462647.640625,31.57
1603462647.65625,31.68
1603462647.671875,30.09
1603462647.6875,27.14
1603462647.703125,23.33
1603462647.71875,19.32
1603462647.734375,15.78
1603462647.75,13.28
1603462647.765625,12.18
1603462647.78125,12.53
1603462647.796875,14.13
1603462647.8125,16.53
1603462647.828125,19.22
1603462647.84375,21.70
1603462647.859375,23.62
1603462647.875,24.79
1603462647.890625,25.16
1603462647.90625,24.76
1603462647.921875,23.64
1603462647.9375,21.87
1603462647.953125,19.57
1603462647.96875,16.89
1603462647.984375,14.06
1603462648.0,11.27
1603462648.015625,8.62
1603462648.03125,6.13
1603462648.046875,3.73
1603462648.0625,1.37
1603462648.078125,-1.01
1603462648.09375,-3.42
1603462648.109375,-5.86
1603462648.125,-8.33
1603462648.140625,-10.80
1603462648.15625,-13.21
1603462648.171875,-15.43
1603462648.1875,-17.40
1603462648.203125,-19.13
1603462648.21875,-20.80
1603462648.234375,-22.72
1603462648.25,-25.25
1603462648.265625,-28.66
